l1,case 1 - const vel (T=0.049111111),case 1 - const vel (T=0.049111111),case 1 - const vel (T=0.049111111),case2 - const acc (T=0.002),case2 - const acc (T=0.002),case2 - const acc (T=0.002),case3 - smooth (T=0.002444444),case3 - smooth (T=0.002444444),case3 - smooth (T=0.002444444)
l2,servo_x[m],potent._x[m],encoder_x[m],servo_x[m],potent._x[m],encoder_x[m],servo_x[m],potent._x[m],encoder_x[m]
64,0.008618999980500001,0.010228658894598659,0.010605704,0.00021300000000000005,0.00023760601177922233,0.000201056,6.5999988e-05,1.2269003734690075e-05,0.0002401473180799879
65,0.009421148126833331,0.011044135290849128,0.011432267332165298,0.00025600000000000004,0.00030152718995182185,0.00025132,7.903702266666666e-05,4.26147838307492e-05,0.00025132
66,0.010231481458333334,0.011891248586208743,0.012214151999999999,0.0003043333333333334,0.0003596373503838242,0.00030158400000000003,9.574072333333332e-05,9.103858959535918e-05,0.00030158400000000003
67,0.011049999975,0.01268541677820244,0.013068640000000005,0.0003576666666666667,0.00037707039822700624,0.00035184800000000004,0.00011651849733333333,0.0001246143640491098,0.00030158400000000003
68,0.0118603333065,0.013521553347853047,0.013878448631990913,0.0004156666666666667,0.00043518055675007027,0.000402112,0.0001409629373333333,0.000157543116201723,0.00035184800000000004
69,0.012662481452833331,0.01435446075359746,0.014643578398599477,0.0004776666666666667,0.0004816686825120948,0.0005026399999999916,0.00016948145066666666,0.00018530545596326462,0.000402112
70,0.013464629599166666,0.015169935648115588,0.015481311999999999,0.0005433333333333334,0.0005978889928124167,0.0005529040000000001,0.00020248144466666665,0.00022727424247713908,0.000452376
71,0.01427496293066667,0.01600477974358359,0.016285536,0.0006129999999999999,0.0006792432065370785,0.0006031680000000001,0.00023955551199999995,0.00026601433469009196,0.0005026399999999999
72,0.0151016666325,0.016792490094214005,0.017089760000000002,0.0006866666666666668,0.0007373533574419543,0.0007036960000000001,0.00028070365266666663,0.00033380950611257504,0.0005529040000000001
73,0.015928370334333333,0.017603444648289626,0.017944248000000003,0.0007643333333333332,0.0008477626401346657,0.0008042239999999889,0.00032633327399999993,0.00036092756482883803,0.0006422589159679881
74,0.016746888850999998,0.01842408362880908,0.018748472,0.0008449999999999999,0.0009174948159616244,0.000904752,0.000376444376,0.00042936877892694043,0.0007036960000000001
75,0.01757359255283333,0.01925053335404842,0.019552696,0.0009283333333333334,0.000993038004070606,0.001005279999999989,0.0004310369586666666,0.0004965179000614011,0.0007818810488319858
76,0.018400296254666663,0.020082147944149534,0.020401598764859273,0.0010156666666666669,0.001103447274569541,0.0011058079999999892,0.0004901110219999999,0.0005565634945333702,0.000854488
77,0.019226999956499995,0.020920864705742614,0.021211408,0.0011073333333333334,0.0011906124844099095,0.001156072,0.0005536665659999999,0.0006527692219684206,0.000921503181695986
78,0.020061888843499995,0.021746668299469397,0.022015632000000004,0.0012023333333333337,0.0012719666773096708,0.0012565999999999999,0.0006217035906666665,0.0006999033879671262,0.00100528
79,0.0208967777305,0.022585384828322827,0.022819856000000003,0.0013006666666666668,0.0014288640412943913,0.0013571280000000006,0.0006946295033333332,0.000789006003851838,0.0011058080000000002
80,0.02171529624716666,0.02336728291394649,0.023663173831293446,0.0014023333333333331,0.0015218402520013124,0.001457656,0.0007724443039999999,0.0008645487764707204,0.0012063323809919852
81,0.02253381476383333,0.024207289662983657,0.024478567597901988,0.0015076666666666667,0.0016322494974018629,0.001558184,0.0008547405853333332,0.0009639800223725752,0.0013012754474239839
82,0.02336051846566666,0.024987250826284894,0.025282792,0.0016173333333333337,0.00171941468745165,0.001708975999999989,0.00094111094,0.0010524369547169064,0.0013962185138559856
83,0.02417085179716666,0.025815635337877372,0.026109355131119075,0.001731,0.0019053670820338225,0.001809503999999989,0.0010307405533333332,0.0011538072581660048,0.00150792
84,0.02498118512866666,0.02660140651127423,0.02692474889772761,0.001849,0.002015776309332785,0.001910032,0.0011248516473333333,0.0012209588686584287,0.0016084480000000002
85,0.025807888830499996,0.027388468115114042,0.027745727999999997,0.001972,0.0020913194618593436,0.0020608239999999885,0.0012242590366666663,0.0013584831516639275,0.0017313117131519846
86,0.026634592532333325,0.028213625141203496,0.028499688,0.0020996666666666668,0.0022540277821282294,0.002161352,0.0013273330919999998,0.00147212202459152,0.0018262547795839836
87,0.02744492586383333,0.029055567498671542,0.029320666197550443,0.002231333333333333,0.00239349204768985,0.002312143999999986,0.0014328515913333332,0.0015663908802158908,0.0019602960000000003
88,0.028255259195333324,0.0298716844001334,0.030208664,0.0023663333333333336,0.0024632241773758228,0.0024629359999999863,0.001541221942,0.001709081272443198,0.0020664049124479835
89,0.029057407341666664,0.03069877637918643,0.031012888,0.002505333333333333,0.002660798533633487,0.002613727999999986,0.001653666366,0.001803994443532647,0.002211611978879983
90,0.029851370302833326,0.031539428049868534,0.031867376,0.002648333333333333,0.002829317824457161,0.0027142560000000013,0.0017705922706666665,0.0019608931173230744,0.002356819045311984
91,0.030653518449166663,0.03240719642385577,0.032721863999999996,0.002795333333333333,0.0029745930655498552,0.002865048,0.001891999656,0.002057742832699282,0.002462936
92,0.03144748141033333,0.03323041448787404,0.033526087999999996,0.0029466666666666664,0.0031779783881514014,0.00301584,0.0020182959293333328,0.0022010815644555376,0.002596969178175982
93,0.03224962955666666,0.03403942783643149,0.034330312000000016,0.0031013333333333327,0.0032941985646907914,0.0031666320000000004,0.0021486662760000002,0.0023508746004925396,0.002742176244607984
94,0.033059962888166664,0.034862645295195206,0.035134536,0.0032596666666666664,0.0034046077271553334,0.003367687999999986,0.0022814810666666662,0.0024993786519564064,0.0028873833110399823
95,0.03386211103449998,0.03567682333029043,0.035989024,0.003422333333333333,0.003590559989241673,0.003518479999999986,0.002416332894,0.0026246406058384646,0.003032590377471981
96,0.034664259180833316,0.03650262375195239,0.036793248000000014,0.003589333333333333,0.0038113782817039356,0.003669271999999986,0.0025540365726666662,0.0027544149182391195,0.003177797443903983
97,0.03547459251233332,0.037353603429133735,0.037597472000000014,0.0037606666666666665,0.003991519505238939,0.003870327999999986,0.0026958143246666663,0.00292551879729813,0.0033230045103359814
98,0.03628492584383331,0.038161970559591134,0.03844078963022031,0.0039356666666666654,0.0041077396422927355,0.0040211199999999865,0.0028428883720000003,0.0030856458537400744,0.003518475576767983
99,0.037095259175333316,0.03897743966805598,0.039256184000000006,0.0041140000000000005,0.004276258831062183,0.0042221759999999855,0.0029952587146666663,0.0032418958872951955,0.0036636826431999817
100,0.037905592506833306,0.039793554287400335,0.040060408000000006,0.004296,0.004468022031559,0.0043729680000000005,0.003152517945333333,0.0033884659794390514,0.00385915370963198
101,0.0387159258383333,0.040587069826835596,0.040864632000000005,0.004482333333333333,0.004706273259495031,0.0045740239999999864,0.003314666064,0.003564730127288681,0.004004360776063982
102,0.03953444435499997,0.041389624592985855,0.04170236469664571,0.004673,0.0048689814017144105,0.004775079999999986,0.0034804808486666662,0.003737770036294133,0.004199831842495986
