,v_const,a_const,smooth
173,-8.393691323478048e-06,1.097636572745222e-05,1.2267702066940306e-05
174,-2.5826742420259e-06,3.422043302046482e-05,6.456685310025987e-06
175,3.2283428246606827e-06,2.840941621932595e-05,2.3889735536536373e-05
176,9.039359876589716e-06,1.097636572745222e-05,6.45668538386183e-07
177,3.2283428246606827e-06,2.840941621932595e-05,6.456685310025987e-06
178,9.039359876589716e-06,5.7464500077573065e-05,-5.165348248003154e-06
179,9.039359876589716e-06,1.678738257283969e-05,1.2267702066940306e-05
180,9.039359876589716e-06,-3.55117695665105e-05,6.45668538386183e-07
181,-8.393691323478048e-06,2.840941621932595e-05,-1.0976365049142024e-05
182,1.4850376913777231e-05,8.07085668988491e-05,6.45668538386183e-07
183,2.0661393936175134e-05,5.165348333540828e-05,6.45668538386183e-07
184,9.039359876589716e-06,2.840941621932595e-05,-5.165348248003154e-06
185,-2.5826742420259e-06,4.584246657849396e-05,-1.6787381865014395e-05
186,-1.420470841969576e-05,0.00012719669983422518,-5.165348248003154e-06
187,1.4850376913777231e-05,5.7464500077573065e-05,-1.0976365049142024e-05
188,2.0661393936175134e-05,8.651958356734637e-05,1.807871880910509e-05
189,-2.5826742420259e-06,0.00010395263348438911,-1.6787381865014395e-05
190,9.039359876589716e-06,0.00013300771638485444,-1.0976365049142024e-05
191,3.2283428246606827e-06,0.00013881873292078228,-5.165348248003154e-06
192,-2.5826742420259e-06,0.00011557466668875812,-5.165348248003154e-06
193,3.2283428246606827e-06,0.00013881873292078228,-1.6787381865014395e-05
194,1.4850376913777231e-05,0.00017368483182705796,-5.165348248003154e-06
195,1.4850376913777231e-05,0.00013300771638485444,1.2267702066940306e-05
196,9.039359876589716e-06,0.0001853068646780634,-5.165348248003154e-06
197,9.039359876589716e-06,0.0001620627989171746,-1.0976365049142024e-05
198,3.2283428246606827e-06,0.0002201729628779086,-5.165348248003154e-06
199,1.4850376913777231e-05,0.00017368483182705796,6.45668538386183e-07
200,9.039359876589716e-06,0.00010395263348438911,6.45668538386183e-07
201,-2.5826742420259e-06,0.00019692889747019096,6.45668538386183e-07
202,9.039359876589716e-06,0.0002782831253675931,6.456685310025987e-06
203,9.039359876589716e-06,0.00024341702805025093,6.45668538386183e-07
204,-2.5826742420259e-06,0.00023760601177922152,6.45668538386183e-07
205,-2.5826742420259e-06,0.0002608500767750905,-5.165348248003154e-06
206,-8.393691323478048e-06,0.00034220430240845524,-5.165348248003154e-06
207,9.039359876589716e-06,0.0003015271899518218,6.456685310025987e-06
208,2.0661393936175134e-05,0.0003015271899518218,6.45668538386183e-07
209,3.2283428246606827e-06,0.0003247712543009077,1.2267702066940306e-05
210,3.2283428246606827e-06,0.00034801531841493095,6.456685310025987e-06
211,9.039359876589716e-06,0.00034801531841493095,1.2267702066940306e-05
212,9.039359876589716e-06,0.0003596373503838262,6.456685310025987e-06
213,-8.393691323478048e-06,0.00037125938229393965,-2.8409415541015756e-05
214,3.2283428246606827e-06,0.0003654483663462216,6.45668538386183e-07
215,9.039359876589716e-06,0.0003886924300490294,6.45668538386183e-07
216,9.039359876589716e-06,0.00037707039822700434,1.2267702066940306e-05
217,-2.5826742420259e-06,0.00041774750934726597,-1.0976365049142024e-05
218,3.2283428246606827e-06,0.0005281568073356125,1.2267702066940306e-05
219,1.4850376913777231e-05,0.00045842461974842367,6.456685310025987e-06
220,-2.5826742420259e-06,0.00043518055675006637,6.45668538386183e-07
221,2.0661393936175134e-05,0.0004991017294308543,-1.0976365049142024e-05
222,9.039359876589716e-06,0.0005165347762176933,-1.6787381865014395e-05
223,-2.5826742420259e-06,0.0005281568073356125,6.45668538386183e-07
