v_const,a_const,smooth
5.0264000000000005e-05,0.002312144,0.0005026399999999999
5.0264000000000005e-05,0.0023624080000000003,0.0005026399999999999
5.0264000000000005e-05,0.0023624080000000003,0.0005529040000000001
5.0264000000000005e-05,0.002412672,0.0005529040000000001
5.0264000000000005e-05,0.002462936,0.0005529040000000001
5.0264000000000005e-05,0.002462936,0.0005529040000000001
5.0264000000000005e-05,0.0025132,0.000603168
5.0264000000000005e-05,0.002563464,0.000603168
5.0264000000000005e-05,0.002613728,0.000603168
5.0264000000000005e-05,0.002613728,0.000603168
5.0264000000000005e-05,0.002663992,0.000653432
5.0264000000000005e-05,0.002714256000000001,0.000653432
5.0264000000000005e-05,0.002714256000000001,0.000653432
5.0264000000000005e-05,0.00276452,0.0007036960000000001
5.0264000000000005e-05,0.0028147840000000003,0.0007036960000000001
5.0264000000000005e-05,0.002865048,0.0007036960000000001
5.0264000000000005e-05,0.002865048,0.0007036960000000001
5.0264000000000005e-05,0.002915312,0.00075396
5.0264000000000005e-05,0.0029655760000000006,0.00075396
5.0264000000000005e-05,0.00301584,0.00075396
5.0264000000000005e-05,0.00301584,0.0008042240000000001
5.0264000000000005e-05,0.0030661040000000005,0.0008042240000000001
5.0264000000000005e-05,0.003116368,0.0008042240000000001
5.0264000000000005e-05,0.0031666320000000004,0.0008042240000000001
5.0264000000000005e-05,0.0031666320000000004,0.000854488
5.0264000000000005e-05,0.0032168960000000003,0.000854488
5.0264000000000005e-05,0.0032671600000000007,0.000854488
5.0264000000000005e-05,0.003317424,0.000904752
5.0264000000000005e-05,0.003367688,0.000904752
5.0264000000000005e-05,0.003367688,0.000904752
5.0264000000000005e-05,0.003417952,0.000955016
5.0264000000000005e-05,0.003468216,0.000955016
5.0264000000000005e-05,0.00351848,0.000955016
5.0264000000000005e-05,0.0035687440000000004,0.0010052799999999999
5.0264000000000005e-05,0.003619008,0.0010052799999999999
0.00010052800000000001,0.003619008,0.0010052799999999999
0.00010052800000000001,0.0036692720000000003,0.0010555439999999998
0.00010052800000000001,0.0037195360000000007,0.0010555439999999998
0.00010052800000000001,0.0037698000000000002,0.0011058080000000002
0.00010052800000000001,0.003820064,0.0011058080000000002
0.00010052800000000001,0.003870328,0.0011058080000000002
0.00010052800000000001,0.003920592,0.001156072
0.00010052800000000001,0.003920592,0.001156072
0.00010052800000000001,0.003970856,0.001156072
0.00010052800000000001,0.0040211199999999996,0.001206336
0.00010052800000000001,0.004071384,0.001206336
0.00010052800000000001,0.004121648,0.0012566
0.00010052800000000001,0.004171912000000001,0.0012566
0.00010052800000000001,0.004222175999999999,0.0012566
0.00010052800000000001,0.004272440000000001,0.001306864
