,v_const,a_const,smooth,integrated_v_const,integrated_a_const,integrated_smooth
103,0.01633333333333333,0.098,0.07033333333333333,0.040344777686499966,0.004867333333333334,0.003649962299333333
104,0.016,0.10066666666666667,0.07166666666666667,0.041138740647666636,0.005066,0.003823517823333333
105,0.01633333333333333,0.10266666666666667,0.07333333333333333,0.041932703608833305,0.005269333333333333,0.004000740013333334
106,0.01633333333333333,0.105,0.075,0.042734851755166635,0.005477,0.004182036276666667
107,0.016,0.10633333333333334,0.07766666666666668,0.043528814716333304,0.0056883333333333334,0.004368628835333334
108,0.01633333333333333,0.109,0.08,0.044322777677499973,0.0059036666666666664,0.004561332504000001
109,0.01633333333333333,0.111,0.082,0.0451249258238333,0.006123666666666666,0.004759332468000001
110,0.01633333333333333,0.11266666666666666,0.084,0.04592707397016663,0.006347333333333332,0.0049622213200000015
111,0.016666666666666666,0.11433333333333334,0.08600000000000001,0.04673740730166663,0.006574333333333332,0.005169999060000001
112,0.016666666666666666,0.11633333333333334,0.08833333333333333,0.047555925818333296,0.0068049999999999986,0.0053830730953333345
113,0.01633333333333333,0.11866666666666667,0.09033333333333333,0.04836625914983329,0.0070399999999999985,0.005601443426000001
114,0.01633333333333333,0.12033333333333333,0.092,0.04916840729616662,0.007278999999999998,0.005824295237333335
115,0.016666666666666666,0.12233333333333334,0.09466666666666666,0.04997874062766662,0.007521666666666665,0.0060524433440000015
116,0.016,0.125,0.097,0.05078088877399995,0.007768999999999998,0.006286702560666668
117,0.01633333333333333,0.12666666666666665,0.09866666666666667,0.05157485173516662,0.008020666666666666,0.006525850665333335
118,0.01633333333333333,0.12866666666666665,0.10066666666666667,0.05237699988149995,0.008275999999999999,0.0067694802506666684
119,0.01633333333333333,0.13066666666666665,0.10333333333333333,0.05317914802783328,0.008535333333333332,0.007018813538666668
120,0.01633333333333333,0.13266666666666665,0.105,0.05398129617416661,0.008798666666666666,0.007273443122000001
121,0.01633333333333333,0.13399999999999998,0.10766666666666666,0.05478344432049994,0.009065333333333333,0.007533369000666668
122,0.01633333333333333,0.136,0.11,0.05558559246683327,0.009335333333333333,0.007799405989333335
123,0.016666666666666666,0.13833333333333334,0.11366666666666667,0.05639592579833327,0.009609666666666666,0.008072776310000002
124,0.01633333333333333,0.14033333333333334,0.116,0.057206259129833265,0.009888333333333332,0.008353479962666669
125,0.01633333333333333,0.1423333333333333,0.11866666666666667,0.058008407276166594,0.010171,0.008640294725333337
126,0.01633333333333333,0.14533333333333334,0.12033333333333333,0.058810555422499924,0.010458666666666666,0.008932405783333337
127,0.017,0.147,0.12200000000000001,0.05962907393916659,0.010751,0.00922859091466667
128,0.016666666666666666,0.149,0.12400000000000001,0.06045577764099992,0.011047,0.009529257526666671
129,0.016666666666666666,0.151,0.12633333333333333,0.06127429615766659,0.011347,0.009835220434000005
130,0.017,0.15233333333333335,0.12933333333333333,0.06210099985949992,0.011650333333333332,0.010147701858666671
131,0.016666666666666666,0.15433333333333332,0.13333333333333333,0.06292770356133326,0.011956999999999999,0.010468738837333338
132,0.016666666666666666,0.15666666666666668,0.13666666666666666,0.06374622207799993,0.012268,0.010798738777333339
133,0.017,0.15833333333333333,0.14,0.06457292577983327,0.012582999999999999,0.011136886864000006
